,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
3359,0<=X<200,7.877006967580013,all paid,furniture/equipment,937.2566898919334,100<=X<500,<1,1.9385034837900066,female div/dep/mar,none,1.9385034837900066,car,30.435827527016656,stores,own,1.9385034837900066,unemp/unskilled non res,1.0,none,yes,bad
3360,0<=X<200,27.0,existing paid,business,3915.0,<100,1<=X<4,4.0,male single,none,2.0,car,36.0,stores,own,1.0,skilled,2.0,yes,yes,bad
3361,0<=X<200,12.680297106296042,delayed previously,other,1479.2379202559277,>=1000,1<=X<4,2.22676570209868,male mar/wid,none,1.3401485531480204,no known property,25.793679957345383,stores,for free,1.11338285104934,skilled,1.11338285104934,none,yes,bad
3362,<0,48.0,no credits/all paid,used car,4605.0,<100,>=7,3.0,male single,none,4.0,no known property,24.0,stores,for free,2.0,skilled,2.0,none,yes,bad
3363,>=200,31.792073522655876,existing paid,new car,3355.4872199859055,<100,1<=X<4,3.8246697301106614,female div/dep/mar,none,2.3506605397786773,car,29.22731188922537,stores,for free,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
3364,<0,14.77298710421523,existing paid,new car,903.466233880269,no known savings,1<=X<4,4.0,male div/sep,none,2.0,car,24.386493552107616,bank,own,1.0,skilled,1.0,none,yes,bad
3365,<0,24.0,existing paid,radio/tv,1987.0,<100,1<=X<4,2.0,male single,none,4.0,real estate,21.0,stores,rent,1.0,unskilled resident,2.0,none,yes,bad
3366,0<=X<200,40.406742354886504,existing paid,new car,14264.568248947002,<100,<1,4.0,male single,none,2.0,no known property,51.491572056391874,stores,for free,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
3367,<0,23.70945317602988,existing paid,radio/tv,1824.1621872958806,<100,>=7,3.9031510586766265,male mar/wid,none,2.0,car,29.51575529338313,stores,own,1.0968489413233737,high qualif/self emp/mgmt,1.9031510586766263,none,yes,bad
3368,<0,24.0,all paid,radio/tv,1546.0,<100,4<=X<7,4.0,male single,guarantor,4.0,car,24.0,bank,rent,1.0,unskilled resident,1.0,none,yes,bad
3369,<0,42.5915375314803,existing paid,radio/tv,1843.99647397145,<100,1<=X<4,3.8996473971450123,male mar/wid,none,3.7992947942900246,no known property,23.200705205709976,stores,for free,1.1003526028549877,skilled,1.0,yes,yes,bad
3370,<0,24.0,existing paid,radio/tv,1938.0,<100,<1,4.0,male div/sep,none,3.0,life insurance,32.0,stores,own,1.0,skilled,1.0,none,yes,bad
3371,<0,36.0,delayed previously,other,9351.669141581086,<100,4<=X<7,2.4506655954250567,male single,none,1.6759983931375846,car,24.0,stores,own,1.2253327977125283,skilled,1.0,yes,yes,bad
3372,<0,23.70945317602988,existing paid,radio/tv,1824.1621872958806,<100,>=7,3.9031510586766265,male mar/wid,none,2.0,car,29.51575529338313,stores,own,1.0968489413233737,high qualif/self emp/mgmt,1.9031510586766263,none,yes,bad
3373,<0,39.27946371893478,critical/order existing credit,repairs,11494.800812265037,100<=X<500,1<=X<4,2.0,male div/sep,guarantor,3.6366443216222826,car,25.816778391888587,bank,own,2.0,skilled,1.0,none,yes,bad
3374,<0,24.0,all paid,furniture/equipment,3552.0,<100,4<=X<7,3.0,male single,none,4.0,car,27.0,bank,own,1.0,skilled,1.0,none,yes,bad
3375,<0,41.1977360716882,all paid,domestic appliance,6854.802263928312,<100,<1,2.4777148908802276,male div/sep,none,2.433144672640683,life insurance,58.821719127041824,bank,own,1.4777148908802276,skilled,1.0,yes,yes,bad
3376,<0,48.0,existing paid,furniture/equipment,3927.695539422087,<100,1<=X<4,4.0,male mar/wid,none,3.611239932010254,no known property,44.44495972804101,bank,for free,1.0,skilled,1.805619966005127,none,yes,bad
3377,>=200,31.8820974985779,existing paid,new car,6759.611790250142,>=1000,1<=X<4,2.46273658328593,male div/sep,none,3.0745268334281404,car,50.87874641842059,stores,own,1.5372634167140702,skilled,1.0,none,yes,bad
3378,<0,22.635524453633764,existing paid,radio/tv,2317.91008993615,<100,4<=X<7,2.7271928051079772,female div/dep/mar,none,3.3635964025539886,life insurance,27.181578415323933,stores,own,1.0,unemp/unskilled non res,1.0,none,yes,bad
3379,<0,18.0,existing paid,furniture/equipment,2473.0,<100,unemployed,4.0,male single,none,1.0,car,25.0,stores,own,1.0,unemp/unskilled non res,1.0,none,yes,bad
3380,>=200,18.397787962423124,existing paid,business,4165.994469906058,<100,1<=X<4,2.0441986624914583,male single,none,2.0,car,35.779006687542704,stores,own,1.9779006687542708,skilled,1.9779006687542708,none,yes,bad
3381,>=200,10.02748600826637,existing paid,new car,1308.8075979421353,>=1000,1<=X<4,3.9862569958668153,male mar/wid,guarantor,3.9587709876004453,car,26.97251399173363,stores,own,1.0,unemp/unskilled non res,1.0,none,yes,bad
3382,0<=X<200,44.37201088436318,no credits/all paid,domestic appliance,3831.9067029478774,100<=X<500,1<=X<4,4.0,male mar/wid,none,3.0930027210907953,life insurance,36.418659410424546,stores,for free,1.0,unemp/unskilled non res,1.6976675736969318,none,yes,bad
3383,<0,36.0,existing paid,education,1977.0,no known savings,>=7,4.0,male single,none,4.0,no known property,40.0,stores,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
3384,<0,24.0,all paid,new car,1365.1753097659741,no known savings,<1,4.0,male mar/wid,none,2.688030010175039,car,38.4401500508752,stores,own,1.0,high qualif/self emp/mgmt,1.0,none,yes,bad
3385,<0,11.222921582732004,existing paid,radio/tv,731.662470503608,100<=X<500,4<=X<7,3.7409738609106684,male div/sep,none,2.7409738609106684,no known property,31.70486930455334,stores,own,1.0,unskilled resident,1.0,none,yes,bad
3386,0<=X<200,35.53088060426181,delayed previously,education,11871.011074584765,<100,4<=X<7,2.0,male single,guarantor,3.5490895525838955,car,33.50910447416104,stores,own,2.0,high qualif/self emp/mgmt,1.4509104474161045,none,yes,bad
3387,<0,24.0,critical/order existing credit,new car,3575.222240827322,500<=X<10000,4<=X<7,2.6634457851112736,male single,none,4.0,car,28.346216859554907,bank,own,1.3365542148887264,skilled,1.0,none,yes,bad
3388,<0,48.0,existing paid,used car,10297.0,<100,4<=X<7,4.0,male single,none,4.0,no known property,39.0,,for free,3.0,skilled,2.0,yes,yes,bad
3389,0<=X<200,21.922174073463594,existing paid,new car,1351.536956789106,<100,4<=X<7,3.346304321089401,female div/dep/mar,none,3.653695678910599,life insurance,25.346304321089402,bank,own,1.0,unemp/unskilled non res,1.0,none,yes,bad
3390,>=200,24.98562040242902,existing paid,business,4591.57494523475,<100,1<=X<4,2.0410675167678756,male single,none,3.0410675167678756,life insurance,52.767974496963724,stores,for free,2.9589324832321244,high qualif/self emp/mgmt,1.0410675167678758,none,yes,bad
3391,0<=X<200,24.0,delayed previously,furniture/equipment,2060.7075276758897,<100,>=7,2.7366022140711737,female div/dep/mar,none,1.8683011070355868,life insurance,32.419613284427044,stores,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
3392,<0,22.8735205190245,existing paid,new car,1381.4693664504064,>=1000,1<=X<4,3.8122534198374165,female div/dep/mar,none,2.0,life insurance,34.155140389268375,stores,own,1.0,skilled,1.0,none,yes,bad
3393,<0,22.043566490848484,delayed previously,new car,4821.238939269828,<100,4<=X<7,2.163036125762626,male single,co applicant,3.163036125762626,life insurance,32.956433509151516,stores,own,1.163036125762626,skilled,1.0,yes,yes,bad
3394,0<=X<200,29.052548490112258,no credits/all paid,business,4273.841565185729,100<=X<500,1<=X<4,3.526274245056129,female div/dep/mar,none,4.0,car,27.579085849812905,stores,own,2.1579085849812905,unskilled resident,1.0,none,yes,bad
3395,<0,13.866711928396455,existing paid,retraining,3379.6220675779787,<100,>=7,3.155559327366371,male single,none,3.6888813452672577,life insurance,35.62223730946548,stores,for free,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
3396,<0,24.0,existing paid,radio/tv,1823.0,<100,unemployed,4.0,male single,none,2.0,car,30.0,,own,1.0,high qualif/self emp/mgmt,2.0,none,yes,bad
3397,<0,30.0,existing paid,repairs,11998.0,<100,<1,1.0,male div/sep,none,1.0,no known property,34.0,stores,own,1.0,unskilled resident,1.0,yes,yes,bad
3398,no checking,36.0,critical/order existing credit,furniture/equipment,7127.0,<100,<1,2.0,female div/dep/mar,none,4.0,life insurance,23.0,stores,rent,2.0,skilled,1.0,yes,yes,bad
3399,0<=X<200,24.0,critical/order existing credit,new car,1356.8624170532662,>=1000,<1,3.6208056844220913,male div/sep,none,3.3791943155779087,car,34.312085266331366,stores,own,1.0,skilled,1.0,yes,yes,bad
3400,0<=X<200,18.0,critical/order existing credit,furniture/equipment,1926.0733320481436,<100,<1,2.9633339759282307,male div/sep,none,2.4816669879641156,real estate,29.073332048143538,stores,own,1.5183330120358847,unemp/unskilled non res,1.0,none,yes,bad
3401,0<=X<200,15.48326407406346,critical/order existing credit,other,891.5502077778096,<100,<1,4.0,male mar/wid,none,4.0,car,29.708160185158647,bank,own,1.0,skilled,1.5805440123439098,none,yes,bad
3402,<0,14.917149684378886,critical/order existing credit,other,1271.082850315621,>=1000,1<=X<4,3.0,male mar/wid,none,3.9171496843788858,no known property,38.94476645625259,stores,for free,1.9723832281262954,skilled,1.0,none,yes,bad
3403,<0,24.0,delayed previously,furniture/equipment,3124.6492297653303,<100,4<=X<7,4.0,female div/dep/mar,none,1.0434007832981727,life insurance,27.173603133192692,stores,own,1.0,skilled,1.0,none,yes,bad
3404,no checking,24.0,existing paid,radio/tv,2397.0,500<=X<10000,>=7,3.0,male single,none,2.0,car,35.0,bank,own,2.0,skilled,1.0,yes,yes,bad
3405,<0,18.0,existing paid,furniture/equipment,2473.0,<100,unemployed,4.0,male single,none,1.0,car,25.0,stores,own,1.0,unemp/unskilled non res,1.0,none,yes,bad
3406,0<=X<200,48.0,existing paid,business,15672.0,<100,1<=X<4,2.0,male single,none,2.0,car,23.0,stores,own,1.0,skilled,1.0,yes,yes,bad
3407,0<=X<200,39.94143362737246,existing paid,new car,6539.405885936619,100<=X<500,4<=X<7,2.776150934093679,male single,none,1.7761509340936794,life insurance,30.267773845376976,stores,own,1.0,high qualif/self emp/mgmt,1.0,none,yes,bad
3408,0<=X<200,30.0,critical/order existing credit,new car,5234.0,<100,unemployed,4.0,male mar/wid,none,2.0,car,28.0,stores,own,2.0,high qualif/self emp/mgmt,1.0,none,yes,bad
3409,0<=X<200,8.0,existing paid,furniture/equipment,1237.0,<100,1<=X<4,3.0,female div/dep/mar,none,4.0,real estate,24.0,stores,own,1.0,skilled,1.0,none,yes,bad
3410,>=200,45.610582399626544,critical/order existing credit,retraining,11644.160132275132,100<=X<500,1<=X<4,1.8672545777570302,female div/dep/mar,none,3.6017637332710906,car,25.327454222429697,bank,own,1.8672545777570302,unskilled resident,1.0,none,yes,bad
3411,0<=X<200,34.422213340746055,critical/order existing credit,furniture/equipment,8164.889332962697,100<=X<500,<1,2.0,male single,none,3.474071113582018,car,43.84075110246294,stores,own,3.2111066703730264,high qualif/self emp/mgmt,1.0,none,yes,bad
3412,<0,24.0,all paid,new car,1365.1753097659741,no known savings,<1,4.0,male mar/wid,none,2.688030010175039,car,38.4401500508752,stores,own,1.0,high qualif/self emp/mgmt,1.0,none,yes,bad
3413,<0,26.135948905631917,existing paid,new car,2427.2522810190244,<100,4<=X<7,4.0,female div/dep/mar,none,4.0,real estate,30.728102188736166,stores,own,1.0,skilled,1.0,none,yes,bad
3414,0<=X<200,24.0,existing paid,used car,11560.0,<100,1<=X<4,1.0,female div/dep/mar,none,4.0,car,23.0,stores,rent,2.0,high qualif/self emp/mgmt,1.0,none,yes,bad
3415,<0,12.0,all paid,radio/tv,626.0,<100,1<=X<4,4.0,female div/dep/mar,none,4.0,real estate,24.0,bank,own,1.0,unskilled resident,1.0,none,yes,bad
3416,<0,44.177039661070346,existing paid,repairs,4602.769939802291,<100,<1,2.840709985877931,male single,none,3.840709985877931,life insurance,28.778700423662066,stores,for free,2.159290014122069,high qualif/self emp/mgmt,1.8407099858779312,none,yes,bad
3417,<0,48.0,critical/order existing credit,used car,6143.0,<100,>=7,4.0,female div/dep/mar,none,4.0,no known property,58.0,,for free,2.0,unskilled resident,1.0,none,yes,bad
3418,0<=X<200,6.0,delayed previously,new car,1209.0,<100,unemployed,4.0,male single,none,4.0,life insurance,47.0,stores,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
3419,0<=X<200,12.680297106296042,delayed previously,other,1479.2379202559277,>=1000,1<=X<4,2.22676570209868,male mar/wid,none,1.3401485531480204,no known property,25.793679957345383,stores,for free,1.11338285104934,skilled,1.11338285104934,none,yes,bad
3420,<0,24.0,all paid,new car,1193.0,<100,unemployed,1.0,female div/dep/mar,co applicant,4.0,no known property,29.0,stores,rent,2.0,unemp/unskilled non res,1.0,none,yes,bad
3421,<0,45.0,existing paid,radio/tv,1845.0,<100,1<=X<4,4.0,male single,none,4.0,no known property,23.0,stores,for free,1.0,skilled,1.0,yes,yes,bad
3422,<0,21.0,delayed previously,education,3414.0,<100,<1,2.0,male single,none,1.0,life insurance,26.0,stores,own,2.0,skilled,1.0,none,yes,bad
3423,0<=X<200,24.0,existing paid,new car,1358.8365977465185,<100,4<=X<7,3.239787359157403,female div/dep/mar,none,4.0,car,25.0,stores,own,1.0,unemp/unskilled non res,1.0,none,yes,bad
3424,0<=X<200,9.901463367698419,existing paid,furniture/equipment,956.5960976861376,500<=X<10000,1<=X<4,1.9014633676984185,female div/dep/mar,none,2.6009755784656123,car,28.39902442153439,bank,own,1.9014633676984185,skilled,1.0,none,no,bad
3425,0<=X<200,22.64357994402473,critical/order existing credit,other,1215.472503311565,100<=X<500,<1,4.0,male single,none,4.0,life insurance,38.67821002798763,bank,own,1.9246433302235961,high qualif/self emp/mgmt,1.9246433302235961,none,yes,bad
3426,>=200,48.0,critical/order existing credit,new car,10159.824793901367,500<=X<10000,1<=X<4,2.386174045898441,male single,none,2.386174045898441,no known property,43.0345648852539,bank,for free,1.386174045898441,skilled,1.1930870229492205,none,yes,bad
3427,0<=X<200,11.844271293288053,critical/order existing credit,domestic appliance,1194.103819137808,<100,>=7,3.2207638275615933,female div/dep/mar,none,4.0,life insurance,36.55847234487681,stores,for free,1.0,skilled,1.3896180862192034,none,yes,bad
3428,no checking,24.0,existing paid,radio/tv,5943.0,no known savings,<1,1.0,female div/dep/mar,none,1.0,car,44.0,stores,own,2.0,skilled,1.0,yes,yes,bad
3429,<0,48.0,all paid,business,7688.056533480701,<100,4<=X<7,2.0783726533512925,female div/dep/mar,guarantor,4.0,car,37.19593163337823,bank,own,1.0,high qualif/self emp/mgmt,1.0,none,yes,bad
3430,<0,16.72854082296316,critical/order existing credit,domestic appliance,1956.8143775311105,<100,<1,3.0304721097284215,female div/dep/mar,guarantor,3.0304721097284215,life insurance,25.18283265837053,stores,own,2.0,skilled,1.0,none,yes,bad
3431,0<=X<200,34.89399795401178,existing paid,furniture/equipment,3445.078331628343,500<=X<10000,<1,3.63133265133726,male mar/wid,guarantor,2.36866734866274,car,38.12899283904123,stores,own,1.0,skilled,1.81566632566863,none,yes,bad
3432,<0,18.0,critical/order existing credit,repairs,1190.0,<100,unemployed,2.0,female div/dep/mar,none,4.0,no known property,55.0,stores,for free,3.0,unemp/unskilled non res,2.0,none,yes,bad
3433,0<=X<200,15.0,delayed previously,repairs,1512.0,>=1000,1<=X<4,3.0,male mar/wid,none,3.0,life insurance,61.0,,own,2.0,skilled,1.0,none,yes,bad
3434,0<=X<200,19.37524054841322,delayed previously,new car,1332.2292067580688,<100,>=7,3.22920675806887,male single,none,1.614603379034435,life insurance,34.90667095972314,stores,for free,1.614603379034435,skilled,1.614603379034435,none,yes,bad
3435,no checking,24.0,existing paid,business,4591.0,>=1000,1<=X<4,2.0,male single,none,3.0,life insurance,54.0,stores,own,3.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
3436,<0,48.0,existing paid,furniture/equipment,3927.695539422087,<100,1<=X<4,4.0,male mar/wid,none,3.611239932010254,no known property,44.44495972804101,bank,for free,1.0,skilled,1.805619966005127,none,yes,bad
3437,0<=X<200,15.0,all paid,new car,6850.0,100<=X<500,unemployed,1.0,male single,none,2.0,life insurance,34.0,stores,own,1.0,high qualif/self emp/mgmt,2.0,yes,yes,bad
3438,<0,15.551332432927707,delayed previously,education,2283.713557656502,100<=X<500,<1,3.408111261178716,male div/sep,none,2.591888738821284,car,33.71355765650202,stores,own,2.0,high qualif/self emp/mgmt,1.0,none,yes,bad
3439,<0,21.696383786992037,existing paid,furniture/equipment,1282.4404264299912,no known savings,1<=X<4,4.0,female div/dep/mar,none,3.4880852859982308,life insurance,29.952341143992925,stores,rent,1.0,skilled,1.0,none,yes,bad
3440,0<=X<200,48.798764303046205,delayed previously,education,6228.260076282913,<100,<1,4.0,male single,none,4.0,no known property,49.467490464635866,stores,for free,1.0,skilled,1.0,none,yes,bad
3441,0<=X<200,23.703218435689095,existing paid,domestic appliance,3927.08819906914,<100,1<=X<4,3.725268202974091,male mar/wid,none,2.0,car,34.07687742081864,stores,own,1.0,skilled,1.7252682029740911,yes,yes,bad
3442,>=200,18.397787962423124,existing paid,business,4165.994469906058,<100,1<=X<4,2.0441986624914583,male single,none,2.0,car,35.779006687542704,stores,own,1.9779006687542708,skilled,1.9779006687542708,none,yes,bad
3443,0<=X<200,40.597407901463356,critical/order existing credit,furniture/equipment,5152.753206088781,<100,4<=X<7,2.822510233170738,female div/dep/mar,none,2.588744883414631,car,29.17748976682926,stores,own,1.411255116585369,high qualif/self emp/mgmt,1.0,none,yes,bad
3444,>=200,24.172683557008686,delayed previously,furniture/equipment,6804.20878489906,>=1000,1<=X<4,2.6858537285565207,male single,none,3.6570731357217396,car,54.62585229314785,stores,own,1.6570731357217396,skilled,1.0,none,yes,bad
3445,0<=X<200,12.0,existing paid,radio/tv,1331.0,<100,<1,2.0,male single,none,1.0,car,22.0,,own,1.0,skilled,1.0,none,yes,bad
3446,no checking,24.0,existing paid,radio/tv,2397.0,500<=X<10000,>=7,3.0,male single,none,2.0,car,35.0,bank,own,2.0,skilled,1.0,yes,yes,bad
3447,>=200,11.279866226812757,delayed previously,education,1126.1205796838115,500<=X<10000,1<=X<4,4.0,female div/dep/mar,none,3.7599554089375857,car,29.720133773187243,stores,own,1.2400445910624143,unemp/unskilled non res,1.2400445910624143,none,yes,bad
3448,<0,18.0,existing paid,radio/tv,3190.0,<100,1<=X<4,2.0,female div/dep/mar,none,2.0,real estate,24.0,stores,own,1.0,skilled,1.0,none,yes,bad
3449,0<=X<200,36.0,existing paid,new car,14318.0,<100,>=7,4.0,male single,none,2.0,no known property,57.0,stores,for free,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
3450,<0,14.863162317484083,existing paid,new car,903.5789528968551,no known savings,1<=X<4,4.0,male div/sep,none,2.0,car,24.43158115874204,bank,own,1.0,skilled,1.0,none,yes,bad
3451,0<=X<200,24.0,critical/order existing credit,furniture/equipment,4774.391565255875,<100,4<=X<7,2.0,male div/sep,guarantor,3.526030058569444,car,27.843819648583338,bank,own,1.0,unemp/unskilled non res,1.0,none,yes,bad
3452,<0,18.0,existing paid,furniture/equipment,2471.5393647918218,<100,>=7,3.734429962149447,male single,none,1.1327850189252766,car,24.60164494322417,stores,own,1.0,skilled,1.0,none,yes,bad
3453,<0,24.0,delayed previously,new car,4870.0,<100,1<=X<4,3.0,male single,none,4.0,no known property,53.0,stores,for free,2.0,skilled,2.0,none,yes,bad
3454,<0,39.27946371893478,critical/order existing credit,repairs,11494.800812265037,100<=X<500,1<=X<4,2.0,male div/sep,guarantor,3.6366443216222826,car,25.816778391888587,bank,own,2.0,skilled,1.0,none,yes,bad
3455,>=200,10.02748600826637,existing paid,new car,1308.8075979421353,>=1000,1<=X<4,3.9862569958668153,male mar/wid,guarantor,3.9587709876004453,car,26.97251399173363,stores,own,1.0,unemp/unskilled non res,1.0,none,yes,bad
3456,no checking,18.0,critical/order existing credit,education,1864.0,100<=X<500,1<=X<4,4.0,female div/dep/mar,none,2.0,real estate,30.0,stores,own,2.0,skilled,1.0,none,yes,bad
3457,0<=X<200,38.194391965287686,delayed previously,furniture/equipment,5163.822122240093,<100,1<=X<4,3.634268005785385,male mar/wid,none,2.1828659971073074,car,29.182865997107307,stores,own,1.0,high qualif/self emp/mgmt,1.0,none,yes,bad
3458,0<=X<200,20.614037392067345,existing paid,new car,2039.0,<100,1<=X<4,1.0,female div/dep/mar,none,2.692981303966327,no known property,20.871345797355783,bank,own,1.0,skilled,1.0,none,yes,bad
3459,<0,21.66772925271309,all paid,new car,1649.6709170108525,>=1000,1<=X<4,4.0,male mar/wid,none,2.0,car,37.55165940671866,stores,own,1.7774235824289695,unskilled resident,1.7774235824289695,none,yes,bad
3460,no checking,10.0,existing paid,furniture/equipment,2210.0,<100,1<=X<4,2.0,male single,none,2.0,real estate,25.0,bank,rent,1.0,unskilled resident,1.0,none,yes,bad
3461,<0,29.520943597483644,delayed previously,furniture/equipment,3460.3079162222234,<100,<1,3.7300393165618186,male mar/wid,guarantor,2.0,car,38.49051111530364,stores,own,1.2699606834381814,skilled,1.7300393165618186,none,yes,bad
3462,0<=X<200,12.0,existing paid,new car,1223.0,<100,>=7,1.0,male div/sep,none,1.0,real estate,46.0,stores,rent,2.0,skilled,1.0,none,yes,bad
3463,<0,29.110746817751256,delayed previously,education,2127.776867044378,<100,1<=X<4,2.7654725758054157,male single,guarantor,1.3827362879027079,life insurance,28.975571742735205,stores,own,1.6172637120972921,skilled,1.0,none,yes,bad
3464,<0,18.0,existing paid,furniture/equipment,1131.0,<100,unemployed,4.0,female div/dep/mar,none,2.0,car,33.0,stores,own,1.0,skilled,1.0,none,yes,bad
3465,<0,24.0,all paid,furniture/equipment,3552.0,<100,4<=X<7,3.0,male single,none,4.0,car,27.0,bank,own,1.0,skilled,1.0,none,yes,bad
3466,<0,26.163831858154545,critical/order existing credit,domestic appliance,3141.886151919635,<100,1<=X<4,3.2787227139484845,male mar/wid,none,2.7212772860515155,life insurance,31.0,stores,own,1.0,skilled,1.0,none,yes,bad
3467,0<=X<200,35.03360101241618,delayed previously,retraining,8254.28744017511,<100,1<=X<4,2.0,male single,none,2.0,life insurance,29.704529452404643,stores,own,1.0,skilled,1.8389335020693633,none,yes,bad
3468,0<=X<200,15.0,no credits/all paid,new car,1778.0,<100,<1,2.0,female div/dep/mar,none,1.0,real estate,26.0,stores,rent,2.0,unemp/unskilled non res,1.0,none,yes,bad
3469,<0,23.659606193947656,all paid,education,3536.3418849215923,<100,4<=X<7,2.886535397982552,male single,none,3.659606193947656,car,26.886535397982552,bank,own,1.113464602017448,skilled,1.0,none,yes,bad
3470,no checking,48.0,existing paid,business,4844.0,<100,unemployed,3.0,male single,none,2.0,car,33.0,bank,rent,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
3471,0<=X<200,12.0,existing paid,radio/tv,766.0,500<=X<10000,1<=X<4,4.0,male single,none,3.0,real estate,66.0,stores,own,1.0,unskilled resident,1.0,none,yes,bad
3472,<0,12.0,existing paid,radio/tv,727.0,100<=X<500,<1,4.0,male mar/wid,none,3.0,no known property,33.0,stores,own,1.0,unskilled resident,1.0,yes,yes,bad
3473,<0,22.590066580366997,existing paid,furniture/equipment,7834.994811355627,<100,>=7,4.0,male single,none,4.0,no known property,49.76414632266564,bank,for free,1.0,high qualif/self emp/mgmt,1.0,none,yes,bad
3474,0<=X<200,40.759488343280964,existing paid,other,3023.0329780994975,100<=X<500,1<=X<4,4.0,male mar/wid,guarantor,3.8714996467660896,life insurance,21.51400141293564,stores,rent,1.1285003532339102,skilled,1.0,none,yes,bad
3475,0<=X<200,24.0,existing paid,new car,2718.0,<100,1<=X<4,3.0,female div/dep/mar,none,4.0,life insurance,20.0,stores,rent,1.0,unskilled resident,1.0,yes,yes,bad
3476,0<=X<200,39.481086918055766,existing paid,education,6330.405753702685,>=1000,<1,4.0,male single,none,4.0,life insurance,34.47639853662045,stores,for free,1.0,skilled,1.0,none,yes,bad
3477,<0,20.035818224629033,existing paid,new car,1281.36616670591,>=1000,4<=X<7,3.669651518719086,female div/dep/mar,none,3.008954556157258,no known property,33.65174240640457,stores,own,1.0,skilled,1.0,none,yes,bad
3478,0<=X<200,6.514833054952507,existing paid,new car,14886.080883141249,<100,>=7,1.0514833054952506,male single,none,3.9656777963364993,no known property,67.81122787985075,bank,for free,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
3479,0<=X<200,6.0,all paid,education,436.64378196936315,<100,<1,4.0,female div/dep/mar,none,2.485837595915088,life insurance,23.757081202042457,bank,own,1.0,skilled,1.757081202042456,none,yes,bad
3480,0<=X<200,15.0,all paid,new car,6850.0,100<=X<500,unemployed,1.0,male single,none,2.0,life insurance,34.0,stores,own,1.0,high qualif/self emp/mgmt,2.0,yes,yes,bad
3481,0<=X<200,24.0,existing paid,other,11328.0,<100,1<=X<4,2.0,male single,co applicant,3.0,car,29.0,bank,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
3482,<0,24.0,all paid,furniture/equipment,6872.0,<100,<1,2.0,male div/sep,none,1.0,life insurance,55.0,bank,own,1.0,skilled,1.0,yes,yes,bad
3483,<0,24.0,existing paid,radio/tv,1987.0,<100,1<=X<4,2.0,male single,none,4.0,real estate,21.0,stores,rent,1.0,unskilled resident,2.0,none,yes,bad
3484,0<=X<200,24.0,critical/order existing credit,other,11938.0,<100,1<=X<4,2.0,male single,co applicant,3.0,car,39.0,stores,own,2.0,high qualif/self emp/mgmt,2.0,yes,yes,bad
3485,<0,14.16207057123161,existing paid,new car,1223.6758588575367,<100,1<=X<4,4.0,female div/dep/mar,none,2.3603450952052683,life insurance,23.63965490479473,stores,own,1.0,unemp/unskilled non res,1.0,none,yes,bad
3486,0<=X<200,45.0,critical/order existing credit,radio/tv,4746.0,<100,<1,4.0,male single,none,2.0,life insurance,25.0,stores,own,2.0,unskilled resident,1.0,none,yes,bad
3487,0<=X<200,12.673300745270915,existing paid,new car,1294.4389160456076,<100,4<=X<7,3.0561083954392427,female div/dep/mar,none,1.1683251863177286,car,25.3927587680747,stores,rent,1.0,skilled,1.0,none,yes,bad
3488,0<=X<200,16.070503411919827,critical/order existing credit,furniture/equipment,1926.0705034119198,<100,4<=X<7,2.6431655293600578,male single,none,2.0,no known property,32.92949658808018,stores,own,1.6784172353199711,unskilled resident,1.0,none,yes,bad
3489,0<=X<200,38.51040543101503,existing paid,radio/tv,7460.700672395368,<100,<1,2.465028959358216,male div/sep,none,3.0233140270945222,life insurance,37.81473936577605,stores,for free,1.0,high qualif/self emp/mgmt,1.5116570135472611,none,yes,bad
3490,<0,33.87198800256862,delayed previously,repairs,6279.197289342752,<100,4<=X<7,4.0,male single,none,3.215110444587146,life insurance,38.935994001284314,stores,for free,2.0,skilled,1.0,yes,yes,bad
3491,0<=X<200,45.66053601023234,existing paid,new car,3906.240672774959,<100,1<=X<4,4.0,male mar/wid,none,3.4151340025580854,life insurance,45.220178670077445,stores,for free,1.0,skilled,1.8050446675193619,none,yes,bad
3492,>=200,18.0,existing paid,furniture/equipment,2864.0,<100,1<=X<4,2.0,male single,none,1.0,real estate,34.0,stores,own,1.0,unskilled resident,2.0,none,yes,bad
3493,0<=X<200,9.0,all paid,used car,5129.0,<100,>=7,2.0,female div/dep/mar,none,4.0,no known property,74.0,bank,for free,1.0,high qualif/self emp/mgmt,2.0,yes,yes,bad
3494,<0,12.0,all paid,radio/tv,626.0,<100,1<=X<4,4.0,female div/dep/mar,none,4.0,real estate,24.0,bank,own,1.0,unskilled resident,1.0,none,yes,bad
